Religious_Place,Country,Date,visitor_count,crowd_level,Public_Holiday,Past Crowd Levels
Fushimi Inari Taisha,Japan,2033-06-09,2168,Medium,Yes,3003
Kiyomizu-dera,Japan,2038-03-30,1509,Medium,Yes,2641
Itsukushima Shrine,Japan,2023-10-09,3911,Low,Yes,905
Shwedagon Pagoda,Myanmar,2040-06-06,3625,Low,Yes,1429
Mahamuni Buddha Temple,Myanmar,2029-10-04,2779,Medium,Yes,3501
Bagan Temples,Myanmar,2033-02-23,1761,Low,Yes,2210
Borobudur,Indonesia,2018-05-30,3205,Medium,Yes,2374
Prambanan,Indonesia,2021-12-29,4687,Medium,Yes,2606
Tanah Lot,Indonesia,2045-03-21,4286,Medium,No,695
Uluwatu Temple,Indonesia,2041-02-08,3416,Low,No,1602
Paro Taktsang (Tiger’s Nest),Bhutan,2027-04-17,3374,Low,No,2966
Punakha Dzong,Bhutan,2037-05-02,4608,Medium,No,1874
Tashichho Dzong,Bhutan,2043-09-16,3157,Low,No,1750
Gangteng Monastery,Bhutan,2021-01-28,2184,Medium,No,1188
St. Joseph’s Cathedral,Philippines,2034-01-20,3263,Low,No,413
Manila Cathedral,Philippines,2029-12-08,2061,High,No,3684
Quiapo Church,Philippines,2035-07-01,3531,Medium,No,2187
San Agustin Church,Philippines,2033-04-25,4576,Low,No,860
Batu Caves Temple,Malaysia,2034-12-26,2897,High,No,769
Kek Lok Si Temple,Malaysia,2019-06-18,2067,Medium,Yes,1677
Thean Hou Temple,Malaysia,2024-09-30,3380,High,Yes,2684
Sri Mahamariamman Temple,Malaysia,2031-06-23,1570,Medium,Yes,2209
Sultan Omar Ali Saifuddin Mosque,Brunei,2021-10-25,1038,Medium,Yes,199
Jame’ Asr Hassanil Bolkiah Mosque,Brunei,2020-01-13,4648,Medium,Yes,1342
St. Michael’s Church,Germany,2041-09-02,1267,Medium,Yes,15
Cologne Cathedral,Germany,2027-06-21,4516,Low,Yes,2162
Speyer Cathedral,Germany,2021-09-17,2174,Low,No,982
Regensburg Cathedral,Germany,2036-12-31,4405,High,No,1145
Notre-Dame de Reims,France,2040-02-24,940,Low,No,1556
Amiens Cathedral,France,2040-10-09,4721,Medium,No,1901
Chartres Cathedral,France,2036-06-27,2354,Medium,No,2738
Mont Saint-Michel Abbey,France,2036-02-26,521,Medium,No,2199
Basilica of Saint Anthony,Italy,2028-05-27,1112,Low,No,1349
San Miniato al Monte,Italy,2036-09-18,3032,High,No,3483
Santa Maria in Trastevere,Italy,2026-03-04,4889,High,No,1668
Basilica of Saint John Lateran,Italy,2024-12-20,4350,Low,No,395
St. Stephen’s Cathedral,Austria,2035-09-07,4643,Low,No,2139
Melk Abbey,Austria,2020-03-10,1573,High,No,2758
Klagenfurt Cathedral,Austria,2028-10-06,1418,Low,No,1794
Graz Cathedral,Austria,2037-04-05,686,Low,No,2288
Esztergom Basilica,Hungary,2029-02-12,4048,Medium,No,92
Matthias Church,Hungary,2030-11-01,3980,High,No,1517
Pannonhalma Archabbey,Hungary,2031-04-15,3311,High,No,2018
Szeged Votive Church,Hungary,2034-04-09,4461,High,No,1495
St. Nicholas Church,Slovakia,2020-08-28,3252,High,Yes,1785
Bratislava Cathedral,Slovakia,2022-04-12,4322,Medium,Yes,595
St. Martin’s Cathedral,Slovakia,2044-02-16,908,Medium,Yes,289
Church of St. Elizabeth,Slovakia,2042-11-11,3143,Low,Yes,3188
St. Olaf’s Church,Norway,2022-06-12,3532,Medium,Yes,1171
Nidaros Cathedral,Norway,2032-06-15,2555,High,Yes,2367
Borgund Stave Church,Norway,2039-04-27,4728,Medium,Yes,1850
Heddal Stave Church,Norway,2020-12-12,2086,Medium,No,280
Hallgrímskirkja,Iceland,2021-01-17,3001,Low,No,153
Akureyri Church,Iceland,2022-07-19,1541,High,No,3217
Skálholt Cathedral,Iceland,2039-04-03,4468,High,No,1681
Reykjavik Cathedral,Iceland,2024-10-19,1318,High,No,3635
St. Giles Cathedral,Scotland,2019-08-10,1060,Medium,No,1225
Rosslyn Chapel,Scotland,2045-05-25,3152,High,No,3955
Dunblane Cathedral,Scotland,2033-01-27,2843,High,No,1880
St. Magnus Cathedral,Scotland,2025-03-12,1969,Medium,No,1180
Christ Church Cathedral,Ireland,2042-10-05,3009,High,No,1063
St. Patrick’s Cathedral,Ireland,2018-12-02,3384,High,No,930
St. Colman’s Cathedral,Ireland,2023-11-23,3272,Medium,No,2622
St. Canice’s Cathedral,Ireland,2040-07-06,4108,High,No,2144
Alexander Nevsky Cathedral,Bulgaria,2034-11-29,537,Low,No,189
Rila Monastery,Bulgaria,2020-09-20,1337,Medium,No,217
Bachkovo Monastery,Bulgaria,2040-02-06,2742,Low,Yes,2727
Church of St. Sophia,Bulgaria,2040-08-15,4695,High,Yes,3694
Meteora Monasteries,Greece,2042-01-08,4090,Low,Yes,3530
Mount Athos Monasteries,Greece,2024-01-01,1445,High,Yes,2653
Monastery of Hosios Loukas,Greece,2021-03-01,1610,Low,Yes,3247
Church of Panagia Paraportiani,Greece,2024-08-03,1630,High,Yes,795
Church of St. George,Ethiopia,2018-01-24,4752,High,No,1802
Lalibela Rock-Hewn Churches,Ethiopia,2040-01-14,552,Low,No,3444
Debre Berhan Selassie Church,Ethiopia,2030-07-02,1183,High,No,371
Holy Trinity Cathedral,Ethiopia,2044-11-27,4553,High,No,1866
St. Mary of Zion,Ethiopia,2020-12-14,4324,Medium,No,1333
Basilica of Our Lady of Peace,Ivory Coast,2026-05-04,2927,Medium,No,1146
Great Mosque of Djenné,Mali,2042-08-13,1258,High,No,3418
Mosque of Touba,Senegal,2019-01-17,3771,Low,No,2555
Great Mosque of Kairouan,Tunisia,2043-07-23,1079,Medium,No,2357
Abu Simbel Temple,Egypt,2043-12-17,3266,Low,No,1476
Mosque of Muhammad Ali,Egypt,2024-11-24,2895,Low,No,2583
St. Catherine’s Monastery,Egypt,2025-08-09,1522,High,No,3798
Al-Azhar Mosque,Egypt,2020-02-29,4194,High,No,848
Jokhang Monastery,Tibet (China),2042-02-14,1085,Low,No,3516
Potala Palace,Tibet (China),2042-08-24,2438,Low,No,1922
Ramoche Monastery,Tibet (China),2036-01-09,3594,Medium,No,1422
Drepung Monastery,Tibet (China),2044-05-15,2140,Low,Yes,879
Tashilhunpo Monastery,Tibet (China),2025-05-16,4514,Medium,Yes,226
Shaolin Temple,China,2044-11-17,4366,High,Yes,420
Temple of Heaven,China,2036-07-05,1021,Low,Yes,2848
White Horse Temple,China,2037-04-17,1773,Low,Yes,3680
Lingyin Temple,China,2025-07-14,2705,High,No,264
Todaiji Temple,Japan,2038-06-10,566,Low,No,2733
Fushimi Inari Taisha,Japan,2045-08-06,1334,High,No,3590
Kiyomizu-dera,Japan,2044-12-16,2429,Low,No,2018
Itsukushima Shrine,Japan,2026-09-17,591,Medium,No,3687
Shwedagon Pagoda,Myanmar,2043-04-19,1547,Medium,No,3122
Mahamuni Buddha Temple,Myanmar,2028-04-11,737,Medium,No,1714
Bagan Temples,Myanmar,2022-06-20,501,Low,Yes,267
Borobudur,Indonesia,2045-07-08,1215,Low,Yes,1471
Prambanan,Indonesia,2028-05-08,3760,Medium,Yes,788
Tanah Lot,Indonesia,2045-04-24,2492,Low,Yes,1054
Uluwatu Temple,Indonesia,2040-11-16,2730,High,No,2935
Paro Taktsang (Tiger’s Nest),Bhutan,2028-08-21,1456,High,No,422
Punakha Dzong,Bhutan,2045-07-21,2111,High,No,1764
Tashichho Dzong,Bhutan,2043-10-20,1288,Medium,No,3974
Gangteng Monastery,Bhutan,2022-11-01,1200,Medium,Yes,1250
St. Joseph’s Cathedral,Philippines,2022-04-26,1825,Low,Yes,2081
Manila Cathedral,Philippines,2031-09-23,3637,Medium,Yes,355
Quiapo Church,Philippines,2030-01-22,2363,Low,Yes,258
San Agustin Church,Philippines,2031-04-13,4935,Low,Yes,3491
St. Joseph’s Cathedral,Austria,2024-03-23,3051,Medium,Yes,1479
Melk Abbey,Austria,2038-08-09,4049,Low,No,2608
St. Stephen’s Cathedral,Austria,2041-02-06,1183,High,No,2459
Klagenfurt Cathedral,Austria,2031-12-13,4568,Medium,No,26
Notre-Dame Cathedral,France,2026-01-14,2527,Medium,No,2804
Chartres Cathedral,France,2041-09-06,4561,Medium,No,3980
Reims Cathedral,France,2030-11-22,2738,Medium,No,3484
Amiens Cathedral,France,2027-06-30,1942,Medium,No,354
Cologne Cathedral,Germany,2041-12-28,2920,Medium,No,302
Speyer Cathedral,Germany,2039-01-16,2358,High,No,924
Regensburg Cathedral,Germany,2042-08-01,3472,Low,No,1023
Ulm Minster,Germany,2038-02-03,607,Medium,No,280
St. Michael’s Church,Germany,2027-07-06,4147,High,No,30
St. Nicholas Church,Monaco,2020-02-22,3333,Medium,No,2700
Saint Nicholas Cathedral,Monaco,2039-08-21,2303,Medium,No,1256
St. Peter’s Church,Luxembourg,2038-12-15,4407,High,No,776
Notre-Dame Cathedral,Luxembourg,2039-06-04,1846,High,No,3014
St. John’s Co-Cathedral,Malta,2036-11-05,1551,Medium,No,2400
Rotunda of Mosta,Malta,2026-12-29,4957,Medium,Yes,591
St. Paul’s Cathedral,Malta,2037-01-07,2677,Low,Yes,1912
St. George’s Basilica,Malta,2023-11-09,3427,High,Yes,1436
Hallgrímskirkja,Iceland,2037-02-21,3794,High,Yes,3555
Akureyri Church,Iceland,2039-02-22,4742,Low,Yes,2665
Skálholt Cathedral,Iceland,2021-12-24,1183,Low,Yes,3097
Reykjavik Cathedral,Iceland,2027-06-18,3423,Medium,Yes,1239
St. Olaf’s Church,Norway,2037-04-24,3266,Medium,No,158
Nidaros Cathedral,Norway,2021-10-15,666,High,No,894
Borgund Stave Church,Norway,2028-01-29,1075,High,No,2849
Heddal Stave Church,Norway,2032-04-28,2463,Low,No,3482
St. Giles Cathedral,Scotland,2018-10-14,2736,Low,No,2548
Rosslyn Chapel,Scotland,2026-06-07,1027,Low,No,2265
Dunblane Cathedral,Scotland,2024-10-09,4705,Medium,No,2354
St. Magnus Cathedral,Scotland,2033-09-09,555,Low,No,62
Christ Church Cathedral,Ireland,2031-08-15,4194,Low,No,1411
St. Patrick’s Cathedral,Ireland,2024-05-29,3910,High,No,3232
St. Colman’s Cathedral,Ireland,2042-03-07,2224,Medium,No,2671
St. Canice’s Cathedral,Ireland,2034-02-19,900,Low,No,3730
Alexander Nevsky Cathedral,Bulgaria,2024-05-05,990,High,No,2264
Rila Monastery,Bulgaria,2038-08-31,1382,Medium,No,1288
Bachkovo Monastery,Bulgaria,2039-05-03,4256,Low,Yes,1127
Church of St. Sophia,Bulgaria,2019-07-18,1495,High,Yes,686
Meteora Monasteries,Greece,2018-10-19,3681,High,Yes,2988
Mount Athos Monasteries,Greece,2031-11-28,1161,Low,Yes,312
Monastery of Hosios Loukas,Greece,2037-07-09,2983,Medium,Yes,3609
Church of Panagia Paraportiani,Greece,2026-05-02,4820,High,No,3001
Church of St. George,Ethiopia,2018-06-19,2305,Low,No,49
Lalibela Rock-Hewn Churches,Ethiopia,2018-09-25,2251,High,No,3522
Debre Berhan Selassie Church,Ethiopia,2032-06-07,4769,Low,No,2207
Holy Trinity Cathedral,Ethiopia,2022-09-23,1219,Low,No,3198
St. Mary of Zion,Ethiopia,2036-11-12,2425,Low,No,3387
Basilica of Our Lady of Peace,Ivory Coast,2044-08-05,2668,High,No,39
Great Mosque of Djenné,Mali,2037-01-16,784,High,No,2595
Mosque of Touba,Senegal,2039-07-06,2399,Medium,No,994
Great Mosque of Kairouan,Tunisia,2018-11-12,2062,Medium,No,327
Abu Simbel Temple,Egypt,2024-07-16,4917,High,No,3227
Mosque of Muhammad Ali,Egypt,2035-08-16,4909,Low,No,2517
St. Catherine’s Monastery,Egypt,2035-12-19,912,Low,No,1225
Al-Azhar Mosque,Egypt,2018-09-03,2675,High,No,2844
Jokhang Monastery,Tibet (China),2020-08-23,2432,Low,No,1705
Potala Palace,Tibet (China),2018-09-10,2727,Low,No,555
Ramoche Monastery,Tibet (China),2021-04-03,3890,High,Yes,1234
Drepung Monastery,Tibet (China),2024-02-18,1089,Medium,Yes,2532
Tashilhunpo Monastery,Tibet (China),2043-11-13,4929,High,Yes,573
Shaolin Temple,China,2018-02-20,3676,Medium,Yes,3973
Temple of Heaven,China,2023-05-19,4006,High,Yes,18
White Horse Temple,China,2020-05-22,948,Low,Yes,3617
Lingyin Temple,China,2032-12-09,4161,Medium,Yes,405
Todaiji Temple,Japan,2034-05-05,3684,Low,No,1352
Fushimi Inari Taisha,Japan,2040-04-01,2246,Low,No,1534
Kiyomizu-dera,Japan,2044-01-03,3218,Medium,No,3488
Itsukushima Shrine,Japan,2021-06-08,4052,Low,No,2286
Shwedagon Pagoda,Myanmar,2031-11-14,664,High,No,1736
Mahamuni Buddha Temple,Myanmar,2018-09-06,2556,Low,No,42
Bagan Temples,Myanmar,2027-11-26,1237,Low,No,2073
Borobudur,Indonesia,2036-06-14,4191,High,No,3381
Prambanan,Indonesia,2040-12-26,3030,Medium,No,384
Tanah Lot,Indonesia,2022-05-17,915,Low,No,3973
Uluwatu Temple,Indonesia,2020-08-29,4307,High,No,1276
Paro Taktsang (Tiger’s Nest),Bhutan,2043-12-30,3156,Medium,No,2260
Punakha Dzong,Bhutan,2023-10-12,4841,Medium,No,2727
Tashichho Dzong,Bhutan,2034-03-01,2628,Low,No,594
Gangteng Monastery,Bhutan,2038-08-06,1191,High,No,290
St. Joseph’s Cathedral,Philippines,2045-02-21,790,Low,No,1218
Manila Cathedral,Philippines,2034-02-25,1511,Low,No,1733
Quiapo Church,Philippines,2032-05-11,4991,Medium,Yes,3278
San Agustin Church,Philippines,2045-01-31,1055,Low,Yes,1269
Golden Temple,India,2019-03-24,3256,Medium,Yes,1760
Kaaba (Masjid al-Haram),Saudi Arabia,2037-07-10,3348,Low,Yes,463
Masjid an-Nabawi,Saudi Arabia,2028-10-09,3090,Medium,Yes,684
Al-Aqsa Mosque,Palestine,2031-02-23,850,Medium,No,846
Sheikh Zayed Grand Mosque,UAE,2025-08-26,2730,Medium,No,1884
Jama Masjid,India,2036-05-04,1607,Low,No,1922
Badshahi Mosque,Pakistan,2039-12-05,1075,Low,No,1066
Hassan II Mosque,Morocco,2038-02-24,4271,High,No,2228
Kashi Vishwanath Temple,India,2019-04-07,1479,High,No,1197
Jagannath Temple,India,2035-03-24,1354,Medium,No,2823
Tirupati Balaji Temple,India,2031-04-07,935,High,No,2864
Somnath Temple,India,2041-07-08,632,Medium,No,2599
Meenakshi Amman Temple,India,2027-08-20,2493,Medium,No,2802
Akshardham Temple,India,2019-01-12,1849,Low,No,1058
Kedarnath Temple,India,2019-02-15,1547,High,No,1834
Badrinath Temple,India,2032-09-22,2269,Medium,No,1267
St. Peter’s Basilica,Vatican City,2027-05-22,4165,Medium,No,583
Church of the Holy Sepulchre,Israel,2033-05-31,2285,High,No,1416
Notre Dame Cathedral,France,2035-02-01,2466,High,Yes,2434
Basilica of Our Lady of Guadalupe,Mexico,2036-07-16,3374,Low,Yes,1929
St. Paul’s Cathedral,UK,2020-12-23,3820,High,Yes,3929
Basilica of Bom Jesus,India,2041-05-23,3054,Low,Yes,2049
Sagrada Familia,Spain,2018-10-02,2053,High,Yes,2201
Mahabodhi Temple,India,2023-02-06,1387,High,No,889
Shwedagon Pagoda,Myanmar,2027-08-03,2437,High,No,921
Borobudur Temple,Indonesia,2044-04-26,3046,Medium,No,1182
Jokhang Temple,Tibet (China),2029-04-08,4321,Medium,No,3390
Wat Pho,Thailand,2034-11-16,1406,Low,No,617
Wat Arun,Thailand,2043-10-15,1641,High,No,3990
Boudhanath Stupa,Nepal,2035-02-20,2119,Medium,No,3197
Western Wall,Israel,2021-04-05,3837,Low,No,1991
Hurva Synagogue,Israel,2024-02-06,2070,Medium,No,1009
Great Synagogue of Budapest,Hungary,2038-11-16,3782,Medium,No,755
Belz Great Synagogue,Israel,2024-08-14,2334,Low,No,45
Gurudwara Bangla Sahib,India,2042-09-29,3372,Low,No,3043
Hemkund Sahib Gurudwara,India,2033-09-20,2999,High,Yes,376
Gurudwara Kartarpur Sahib,Pakistan,2036-07-30,3322,High,Yes,2831
Shatrunjaya Hill (Palitana),India,2037-01-25,2770,Low,Yes,2189
Dilwara Temples,India,2024-11-20,4580,High,Yes,2184
Ise Grand Shrine,Japan,2019-05-29,3556,Medium,Yes,2296
Itsukushima Shrine,Japan,2022-04-19,4774,High,No,291
Fire Temple of Yazd,Iran,2021-08-11,945,High,No,1654
Atash Behram,India,2038-05-18,4087,High,No,2793
Lotus Temple,India,2020-07-10,1619,High,Yes,3390
Baháʼí World Centre,Israel,2026-04-06,1874,Medium,Yes,1551
Canterbury Cathedral,UK,2035-04-10,2828,Low,Yes,997
Cologne Cathedral,Germany,2025-09-21,1599,Low,Yes,1303
Westminster Abbey,UK,2022-11-30,604,Medium,No,2699
Chartres Cathedral,France,2019-04-20,1803,High,No,412
Mont Saint-Michel Abbey,France,2035-10-02,2317,Medium,No,2448
Basilica of Saint Mark,Italy,2035-05-13,4055,Low,No,2769
Florence Cathedral (Duomo),Italy,2040-09-27,3754,High,No,1558
Milan Cathedral (Duomo),Italy,2026-04-22,2154,Medium,No,798
Saint Basil’s Cathedral,Russia,2044-02-28,1259,High,No,3911
Christ the Redeemer,Brazil,2029-04-20,4591,Medium,No,1959
La Sagrada Família,Spain,2033-05-08,2683,Medium,No,1682
Salt Cathedral of Zipaquirá,Colombia,2039-09-07,1576,Low,Yes,2070
Tsurugaoka Hachimangu Shrine,Japan,2033-12-03,3244,Medium,Yes,3759
Fushimi Inari Shrine,Japan,2038-07-11,627,Low,Yes,3279
Kiyomizu-dera Temple,Japan,2042-12-24,1530,Medium,Yes,940
Todaiji Temple,Japan,2026-06-08,1079,Low,Yes,1403
Angkor Wat,Cambodia,2040-12-01,786,High,Yes,628
Bayon Temple,Cambodia,2030-01-16,3858,Low,Yes,1637
Ta Prohm,Cambodia,2026-07-24,2717,Medium,No,1952
Haeinsa Temple,South Korea,2044-09-28,4099,Low,No,884
Bulguksa Temple,South Korea,2032-09-09,4928,Low,No,2472
Jokhang Monastery,Tibet (China),2041-12-08,3832,Medium,Yes,2284
Tawang Monastery,India,2038-07-03,1253,Low,Yes,2236
Rumtek Monastery,India,2038-10-28,856,Medium,Yes,252
Paro Taktsang (Tiger’s Nest),Bhutan,2032-06-01,1099,High,Yes,782
Punakha Dzong,Bhutan,2044-05-02,812,High,No,2583
Shikharji Temple,India,2033-09-18,1809,High,No,821
Ranakpur Jain Temple,India,2028-05-13,2764,Low,No,1318
Shravanabelagola,India,2040-01-06,1839,High,No,2383
Saint Catherine’s Monastery,Egypt,2023-04-06,2874,Low,No,3856
Hagia Sophia,Turkey,2033-11-08,1265,Medium,No,2762
Suleymaniye Mosque,Turkey,2044-07-19,3725,Low,No,3463
Blue Mosque (Sultan Ahmed),Turkey,2021-02-21,964,Low,No,868
Eyüp Sultan Mosque,Turkey,2032-07-27,4949,Medium,No,2782
Al-Hussein Mosque,Egypt,2041-07-21,3307,High,Yes,381
Great Mosque of Djenné,Mali,2031-11-25,956,Low,Yes,2788
Umayyad Mosque (Damascus),Syria,2020-10-17,4167,Low,Yes,3286
Quba Mosque,Saudi Arabia,2019-12-07,1714,High,Yes,1352
Imam Reza Shrine,Iran,2030-07-10,1115,Medium,Yes,3448
Fatima Masumeh Shrine,Iran,2033-07-30,2630,Medium,No,2378
Shah Cheragh,Iran,2045-01-06,1755,High,No,1200
Kashi Vishalakshi Temple,India,2041-03-31,4966,Medium,No,2433
Kamakhya Temple,India,2020-06-27,4345,Medium,No,1445
Vaishno Devi Temple,India,2034-11-04,3126,Medium,No,2551
Amarnath Cave Temple,India,2043-05-31,3671,Low,No,682
Padmanabhaswamy Temple,India,2029-10-01,1217,Low,No,3035
Ranganathaswamy Temple,India,2033-05-30,4971,Medium,No,165
Jagatpita Brahma Temple,India,2019-08-18,2089,High,No,2383
Lingaraja Temple,India,2028-12-15,4972,Low,No,3329
Chhatarpur Temple,India,2019-03-17,1126,Low,No,1116
ISKCON Temple (Vrindavan),India,2024-11-18,4794,Low,No,675
Dakshineswar Kali Temple,India,2044-02-24,1156,Low,No,3019
Kalighat Kali Temple,India,2023-04-08,2797,Low,No,2164
Pashupatinath Temple,Nepal,2018-01-11,1060,Medium,Yes,1380
Ramanathaswamy Temple,India,2022-02-22,3345,High,Yes,300
Dwarkadhish Temple,India,2037-04-07,3428,Low,Yes,2506
Banke Bihari Temple,India,2021-12-17,4423,High,Yes,3955
ISKCON Temple (Delhi),India,2027-09-06,3770,High,Yes,1139
Jagannath Puri Gundicha Temple,India,2018-04-04,2053,High,Yes,3554
Sabarimala Temple,India,2022-03-24,2504,Medium,Yes,3090
Konark Sun Temple,India,2029-11-12,1994,Low,No,2039
Mahakaleshwar Jyotirlinga,India,2022-02-25,3225,Low,No,2542
Omkareshwar Temple,India,2033-08-22,3892,Medium,No,3872
Trimbakeshwar Temple,India,2031-06-03,3000,Low,No,1654
Bhimashankar Temple,India,2029-01-21,752,Medium,No,1749
Grishneshwar Temple,India,2018-10-20,4173,High,No,1754
Nageshwar Jyotirlinga,India,2040-01-08,3561,Medium,No,2603
Baidyanath Temple,India,2024-08-22,2221,Medium,No,1766
Mallikarjuna Temple,India,2024-06-06,3252,Low,No,877
Vishnupad Temple,India,2033-08-18,4533,Low,No,3287
Kalighat Shakti Peetha,India,2026-01-27,2926,Low,No,3268
Kanyakumari Amman Temple,India,2045-02-20,2151,Low,No,3905
Mookambika Temple,India,2030-08-04,4009,Low,No,3448
Udupi Sri Krishna Temple,India,2024-02-15,4420,Medium,No,2798
Chidambaram Nataraja Temple,India,2039-07-29,2463,High,Yes,953
Rameswaram Agnitheertham,India,2040-05-22,2093,Medium,Yes,1447
Badrinath Mana Village Temple,India,2040-03-06,773,Medium,Yes,2653
Vaikom Mahadeva Temple,India,2027-02-21,3141,Medium,Yes,3987
Guruvayur Temple,India,2026-08-27,3288,Medium,Yes,2198
Thrissur Vadakkumnathan Temple,India,2036-04-08,536,Low,Yes,143
Sri Ranganatha Swamy Temple,India,2043-06-23,2900,Medium,Yes,3097
Sripuram Golden Temple,India,2041-02-01,1709,High,Yes,488
Kanchipuram Ekambareswarar Temple,India,2027-11-18,2504,Low,No,1603
Kamnath Mahadev Temple,India,2027-12-31,4632,Low,No,3222
ISKCON Mayapur Temple,India,2024-11-12,1058,Low,No,2910
Hemis Monastery,India,2033-05-18,4473,Low,No,2469
Key Monastery,India,2030-02-28,4659,Low,No,3026
Thiksey Monastery,India,2029-05-10,3112,High,No,2288
Spituk Monastery,India,2034-01-13,1380,Medium,No,3072
Namdroling Monastery,India,2022-02-03,3724,Medium,No,3531
Tabo Monastery,India,2022-04-18,1768,High,No,2831
Ghoom Monastery,India,2039-04-04,2989,Medium,No,2877
Rumtek Dharma Chakra Centre,India,2027-11-07,4570,Medium,No,1637
Ralang Monastery,India,2028-03-09,3831,Low,No,3635
Enchey Monastery,India,2035-06-24,3425,Medium,No,1289
Pemayangtse Monastery,India,2044-05-10,3856,Medium,No,2354
Mindrolling Monastery,India,2033-10-02,4427,High,No,1263
Ganden Monastery,Tibet (China),2026-04-05,3965,Low,Yes,1052
Tashilhunpo Monastery,Tibet (China),2032-08-26,1259,Low,Yes,3537
Drepung Monastery,Tibet (China),2024-12-09,2746,Low,Yes,2648
Sera Monastery,Tibet (China),2043-08-12,1404,Low,Yes,3769
Labrang Monastery,China,2041-01-14,603,Medium,Yes,1350
Wudang Mountains Temples,China,2026-06-06,3652,Low,Yes,3841
Shaolin Temple,China,2025-03-10,502,Medium,Yes,83
Mount Emei Monastery,China,2026-11-10,1130,High,No,427
Mount Wutai Temples,China,2022-05-19,664,Medium,No,3300
Mount Putuo Temples,China,2036-06-04,2608,Low,No,1714
White Dagoba Temple,China,2031-10-29,1131,Low,No,223
Horyu-ji Temple,Japan,2041-02-18,3538,High,No,3375
Todai-ji Daibutsuden,Japan,2045-02-24,3608,Low,No,2061
Sanjusangen-do Temple,Japan,2040-11-26,3998,Low,No,2840
Ryoan-ji Temple,Japan,2034-11-01,2313,High,No,2441
Byodo-in Temple,Japan,2029-06-12,2909,Medium,No,799
Tofuku-ji Temple,Japan,2031-10-28,800,Low,No,3056
Kofuku-ji Temple,Japan,2019-12-02,679,Medium,No,3847
Yakushi-ji Temple,Japan,2037-04-11,3600,High,No,2538
Nikkō Tōshō-gū Shrine,Japan,2029-04-25,1747,Low,No,280
Kasuga Taisha Shrine,Japan,2039-06-30,2245,High,No,1295
Meiji Shrine,Japan,2025-03-05,697,High,No,170
Nezu Shrine,Japan,2025-04-04,773,Medium,Yes,3435
Sensō-ji Temple,Japan,2034-04-04,3900,Medium,Yes,3388
Zojo-ji Temple,Japan,2029-09-07,3871,High,Yes,1867
Sensoji Asakusa Shrine,Japan,2045-06-14,1937,Low,Yes,720
Shitenno-ji Temple,Japan,2029-09-13,2133,Low,Yes,1880
Manila Cathedral,Philippines,2044-12-19,2446,Low,No,2610
San Agustin Church,Philippines,2031-02-13,895,High,No,1687
Quiapo Church,Philippines,2038-08-01,2441,Low,No,2980
Basilica del Santo Niño,Philippines,2026-10-15,3320,Low,No,1043
Mount Mary Basilica,India,2044-06-12,568,High,No,1548
Velankanni Church,India,2028-02-24,2719,Low,No,2699
San Thome Basilica,India,2039-08-22,4040,High,No,3669
Se Cathedral Goa,India,2033-09-27,4170,Low,No,302
St. Francis of Assisi Church Goa,India,2032-07-19,1458,Medium,No,1700
Sacred Heart Cathedral Delhi,India,2045-05-07,530,Medium,No,1322
Holy Rosary Church,India,2038-04-26,3083,High,No,1329
Armenian Church Chennai,India,2039-04-10,2449,Low,No,2118
Church of Our Lady of Lourdes,France,2035-12-17,4555,High,No,3250
Basilica of the Sacred Heart Paris,France,2033-02-18,1018,High,No,3550
Reims Cathedral,France,2033-12-04,3204,High,No,1732
Amiens Cathedral,France,2023-07-23,4910,High,No,895
Pisa Cathedral,Italy,2038-11-06,1739,High,No,1694
Siena Cathedral,Italy,2019-08-27,3474,High,No,1421
St. Mark’s Basilica,Italy,2035-11-27,4353,Low,Yes,3243
St. Peter’s Church Munich,Germany,2036-05-06,3780,High,Yes,3402
Ulm Minster,Germany,2019-01-29,3269,Low,Yes,2003
Frauenkirche Dresden,Germany,2026-07-03,3584,Medium,Yes,1049
Speyer Cathedral,Germany,2022-06-06,1448,High,Yes,2648
Chartres Abbey,France,2044-03-05,4961,Low,Yes,1611
Rosslyn Chapel,Scotland,2034-12-10,2192,Low,Yes,3652
St. Patrick’s Cathedral,USA,2018-04-06,1095,Medium,Yes,2599
Washington National Cathedral,USA,2022-01-22,2808,High,No,512
Salt Lake Temple,USA,2035-02-27,4174,High,No,989
Temple Square,USA,2032-04-23,843,High,No,854
Bahai Lotus of the Andes Temple,Chile,2022-05-15,727,Medium,No,976
Bibi Ka Maqbara,India,2044-12-08,561,Medium,No,2492
Kailasa Temple Ellora,India,2024-01-23,4231,Medium,No,2767
Elephanta Caves Temple,India,2039-10-23,1758,High,No,1429
Kaaba (Masjid al-Haram),Saudi Arabia,2045-02-05,4217,High,No,3562
Masjid an-Nabawi,Saudi Arabia,2028-09-07,3690,High,No,2689
Al-Aqsa Mosque,Palestine,2028-06-23,4431,Low,No,2510
Dome of the Rock,Palestine,2041-05-19,3864,Medium,No,2680
Sheikh Zayed Grand Mosque,UAE,2026-05-30,4575,Low,No,271
Jama Masjid,India,2037-03-13,3489,Medium,No,3121
Golden Temple,India,2035-11-12,1662,Low,No,251
Kashi Vishwanath Temple,India,2030-07-12,3235,Medium,Yes,3260
St. Peter’s Basilica,Vatican City,2031-05-29,523,High,Yes,1315
Church of the Holy Sepulchre,Israel,2023-08-18,2153,Medium,Yes,2541
